slot_id,fecha,hora,estado,chat_id,nombre,telefono,zona_propiedad,comentario,creado_at
S-DEMO-01,2026-08-28,09:00,libre,,,,,
S-DEMO-02,2026-08-28,11:00,libre,,,,,
S-DEMO-03,2026-08-28,15:00,libre,,,,,
S-DEMO-04,2026-08-28,17:00,libre,,,,,
S-DEMO-05,2026-08-29,09:00,libre,,,,,
S-DEMO-06,2026-08-29,11:00,libre,,,,,
S-DEMO-07,2026-08-29,15:00,libre,,,,,
S-DEMO-08,2026-09-01,09:00,libre,,,,,
S-DEMO-09,2026-09-01,11:00,libre,,,,,
S-DEMO-10,2026-09-01,15:00,libre,,,,,
S-DEMO-11,2026-09-02,09:00,libre,,,,,
S-DEMO-12,2026-09-02,17:00,libre,,,,,
S-DEMO-13,2026-09-03,11:00,libre,,,,,
S-DEMO-14,2026-09-03,15:00,libre,,,,,
S-DEMO-15,2026-09-04,09:00,libre,,,,,
S-DEMO-16,2026-09-04,17:00,libre,,,,,
